Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afghanistan;302;307;316;312;307;331;335;339;344;348;350;353;384;393;409;418;429;447;447;460;472;477;489;496;500;500;502;506;509;511
Albania;650;631;615;618;624;637;646;645;655;665;671;678;684;691;696;706;713;722;728;733;745;764;775;782;787;788;788;790;792;795
 Algeria;572;576;582;586;590;595;602;611;621;629;637;647;657;667;677;685;690;700;702;711;721;728;728;729;736;740;743;745;746;748
 Andorra;;;;;;;;;;;813;815;820;827;833;827;837;837;840;839;837;836;858;856;863;862;866;863;867;868
 Angola;;;;;;;;;;391;400;410;426;435;446;460;473;489;501;515;517;533;544;555;565;572;578;582;582;581
Bermuda;;;;;;;;;;;;;;;;764;771;776;774;767;763;755;759;760;760;762;765;768;772;778
 Argentina;718;725;730;735;739;741;748;757;763;774;781;786;781;786;787;788;812;817;821;821;829;835;834;835;836;840;839;843;842;845
 Armenia;654;648;618;617;621;627;634;645;657;664;669;673;682;691;700;712;726;741;745;742;747;751;756;762;764;768;766;769;771;776
 Australia;871;871;873;876;879;888;890;893;896;900;903;905;907;909;911;906;909;912;926;928;930;932;937;931;933;938;939;941;943;944
 Austria;803;808;813;817;821;825;829;832;837;842;847;857;847;851;858;863;870;890;893;895;904;906;908;905;913;915;917;919;921;922
 Azerbaijan;;;;;;604;605;610;619;629;635;643;651;659;667;674;701;706;716;727;726;727;730;735;740;744;751;754;754;756
 Bahamas, The;;;;;;;;;;;797;798;800;799;800;801;804;804;804;803;805;805;807;806;805;808;810;812;812;814
 Bahrain;749;755;760;769;772;778;782;783;787;789;795;796;795;797;796;795;797;799;800;798;800;801;808;815;820;848;853;854;852;852
 Bangladesh;394;401;410;418;426;434;443;452;461;469;478;486;492;499;506;514;521;528;531;543;557;566;575;579;579;595;606;616;625;632
 Barbados;732;733;733;737;742;747;751;757;753;760;771;770;774;778;782;787;791;796;800;800;797;799;808;807;808;809;811;810;810;814
 Belarus;;;;;;660;664;670;674;679;686;692;699;707;717;727;744;760;777;787;795;801;806;811;814;814;815;819;823;823
 Belgium;813;817;832;845;852;859;864;869;873;875;880;883;886;889;893;897;904;907;906;907;910;911;913;916;918;922;924;929;930;931
 Belize;610;614;621;624;623;624;624;626;628;633;640;644;651;659;665;662;672;674;679;684;695;694;701;702;705;710;717;714;714;716
 Benin;364;371;375;382;386;391;394;399;403;409;416;428;438;445;453;459;467;475;482;488;494;500;510;522;527;532;533;536;541;545
 Bhutan;;;;;;;;;;;;;;;;520;526;542;551;561;574;585;597;610;618;628;637;646;649;654
 Bolivia ;551;559;566;573;581;589;595;598;610;619;627;630;637;640;641;643;649;649;658;663;667;671;675;684;690;697;702;710;714;718
 Bosnia and Herzegovina;;;;;;;;;;;679;684;689;695;701;706;712;719;726;727;721;729;748;755;758;761;772;774;777;780
 Botswana;573;579;577;576;570;576;575;577;580;582;581;582;579;586;592;601;615;628;641;650;663;677;689;701;711;717;720;726;730;735
 Brazil;613;621;627;635;642;651;658;665;670;676;685;691;699;695;698;700;702;706;717;719;727;731;735;753;756;756;758;761;762;765
 Brunei Darussalam;767;771;777;781;786;790;793;794;794;800;802;803;807;813;818;822;825;825;825;827;827;831;839;839;838;838;839;838;836;838
 Bulgaria;708;705;705;704;705;710;718;713;718;716;720;730;736;745;752;758;765;773;780;782;788;791;795;801;806;809;811;811;813;816
