country_code;year;co2_emissions
AFG;1949;14656
AFG;1950;84272
AFG;1951;91600
AFG;1952;91600
AFG;1953;106256
AFG;1954;106256
AFG;1955;153888
AFG;1956;183200
AFG;1957;293120
AFG;1958;329760
AFG;1959;384571.42
AFG;1960;413883.42
AFG;1961;490797.7
AFG;1962;688594.27
AFG;1963;706735.98
AFG;1964;838550.83
AFG;1965;1006916.53
AFG;1966;1091158.82
AFG;1967;1281865.11
AFG;1968;1223389.69
AFG;1969;941231.98
AFG;1970;1670397.69
AFG;1971;1893931.41
AFG;1972;1531165.69
AFG;1973;1637243.4
AFG;1974;1915677.68
AFG;1975;2124525.68
AFG;1976;1984225.38
AFG;1977;2386745.67
AFG;1978;2155419.66
AFG;1979;2234903.94
AFG;1980;1757021.97
AFG;1981;1979372.53
AFG;1982;2095539.37
AFG;1983;2520091.42
AFG;1984;2822415.06
AFG;1985;3501893.65
AFG;1986;3134071.92
AFG;1987;3114159.9
AFG;1988;2857083.9
AFG;1989;2764887.89
AFG;1990;2602407.59
AFG;1991;2426486.16
AFG;1992;1381521.84
AFG;1993;1333837.11
AFG;1994;1282488.38
AFG;1995;1231139.65
AFG;1996;1165134.92
AFG;1997;1084474.19
AFG;1998;1029461.47
AFG;1999;809568.74
AFG;2000;768195.25
AFG;2001;812074.37
AFG;2002;1064074.85
AFG;2003;1187070.59
AFG;2004;941455.62
AFG;2005;1320250.12
AFG;2006;1643246
AFG;2007;2268343.1
AFG;2008;4198329.64
AFG;2009;6760313.49
AFG;2010;8452224.14
AFG;2011;12226017.38
AFG;2012;10742056.72
AFG;2013;10000414.29
AFG;2014;9789185.57
AFG;2015;10107428.68
AFG;2016;12257907.69
AFG;2017;13014739.66
ALB;1933;7328
ALB;1934;7328
ALB;1935;18320
ALB;1936;128240
ALB;1937;296784
ALB;1938;348080
ALB;1939;432352
ALB;1940;692496
ALB;1941;626544
ALB;1942;743792
ALB;1943;461664
ALB;1944;153888
ALB;1945;120912
ALB;1946;483648
ALB;1947;926992
ALB;1948;703488
ALB;1949;1014928
ALB;1950;296784
ALB;1951;403040
ALB;1952;373728
ALB;1953;414032
ALB;1954;501968
ALB;1955;663184
ALB;1956;839056
ALB;1957;1505904
ALB;1958;1201792
ALB;1959;1443616
ALB;1960;2022528
ALB;1961;2279008
ALB;1962;2462208
ALB;1963;2081152
ALB;1964;2015200
ALB;1965;2172752
ALB;1966;2550144
ALB;1967;2678384
ALB;1968;3070432
ALB;1969;3242640
ALB;1970;3740944
ALB;1971;4349168
ALB;1972;5638896
ALB;1973;5287152
ALB;1974;4341840
ALB;1975;4590992
ALB;1976;4946400
ALB;1977;5715840
ALB;1978;6488944
ALB;1979;7580816
ALB;1980;5166240
ALB;1981;7335328
ALB;1982;7302352
ALB;1983;7624784
ALB;1984;7818976
ALB;1985;7873936
ALB;1986;8049808
ALB;1987;7437920
ALB;1988;7320672
ALB;1989;8976800
ALB;1990;5510656
ALB;1991;4283216
ALB;1992;2513504
ALB;1993;2333968
ALB;1994;1923600
ALB;1995;2084816
ALB;1996;2015200
ALB;1997;1542544
ALB;1998;1751392
ALB;1999;2982496
ALB;2000;3019136
ALB;2001;3220656
ALB;2002;3748272
ALB;2003;4290544
ALB;2004;4162304
ALB;2005;4250240
ALB;2006;3894832
ALB;2007;3924144
ALB;2008;4371152
ALB;2009;4374816
ALB;2010;4594656
ALB;2011;5235856
ALB;2012;4906096
ALB;2013;5059984
ALB;2014;5712176
ALB;2015;5947724.28
ALB;2016;6272857.94
ALB;2017;6379207
DZA;1916;3664
DZA;1917;7328
DZA;1918;18320
DZA;1919;18320
DZA;1920;21984
DZA;1921;25648
DZA;1922;25648
DZA;1923;14656
DZA;1924;29312
DZA;1925;32976
DZA;1926;40304
DZA;1927;58624
DZA;1928;73280
DZA;1929;80608
DZA;1930;84272
DZA;1931;98928
DZA;1932;113584
DZA;1933;120912
DZA;1934;139232
DZA;1935;131904
DZA;1936;51296
DZA;1937;69616
DZA;1938;32976
DZA;1939;161216
DZA;1940;238160
DZA;1941;311440
DZA;1942;498304
DZA;1943;468992
DZA;1944;498304
DZA;1945;615552
DZA;1946;762112
DZA;1947;743792
DZA;1948;802416
DZA;1949;908672
DZA;1950;3784912
DZA;1951;4132992
DZA;1952;3891168
DZA;1953;4001088
DZA;1954;4154976
DZA;1955;4609312
DZA;1956;4997696
DZA;1957;5539968
DZA;1958;5217536
DZA;1959;5657016.93
DZA;1960;6151240.91
DZA;1961;6055917.48
DZA;1962;5661007.81
DZA;1963;5419154.09
DZA;1964;5643044.4
DZA;1965;6588534.69
DZA;1966;8420861.57
DZA;1967;8431586.13
DZA;1968;9050237.52
DZA;1969;11262966.65
DZA;1970;15058959.8
DZA;1971;18649531.22
DZA;1972;28322639.8
DZA;1973;38277400.92
DZA;1974;31876660.36
DZA;1975;32001206.65
DZA;1976;39131069.74
DZA;1977;41844913.14
DZA;1978;62455266.48
DZA;1979;45545551.53
DZA;1980;66416467.44
DZA;1981;46341986.73
DZA;1982;39173029.23
DZA;1983;52503914.58
DZA;1984;70946530.22
DZA;1985;72609068.43
DZA;1986;76080388.2
DZA;1987;83883502.19
DZA;1988;83708033.58
DZA;1989;79808266
DZA;1990;76736640.21
DZA;1991;78805351.89
DZA;1992;79881770.87
DZA;1993;81942440.4
DZA;1994;86146675.45
DZA;1995;94981961.04
DZA;1996;96786119.98
DZA;1997;87004345.51
DZA;1998;106620830.2
DZA;1999;91667911.41
DZA;2000;87442682.76
DZA;2001;83780673.62
DZA;2002;89406721.23
DZA;2003;91048193.45
DZA;2004;87853102.49
DZA;2005;106473190
DZA;2006;100201161.5
DZA;2007;108399973.2
DZA;2008;109031837
DZA;2009;120185864.1
DZA;2010;117814076.6
DZA;2011;119806887.5
DZA;2012;128109951.1
DZA;2013;132434630.3
DZA;2014;143177050.1
DZA;2015;150592497.7
DZA;2016;150378025.5
DZA;2017;150551376.6
AND;1990;406704
AND;1991;406704
AND;1992;406704
AND;1993;410368
AND;1994;406704
AND;1995;425024
AND;1996;454336
AND;1997;465328
AND;1998;490976
AND;1999;512960
AND;2000;523952
AND;2001;523952
AND;2002;531280
AND;2003;534944
AND;2004;560592
AND;2005;575248
AND;2006;545936
AND;2007;538608
AND;2008;538608
AND;2009;516624
AND;2010;516624
AND;2011;490976
AND;2012;487312
AND;2013;476320
AND;2014;461664
AND;2015;477238.62
AND;2016;511506.85
AND;2017;520183.81
AGO;1950;186864
AGO;1951;249152
AGO;1952;311440
AGO;1953;274800
AGO;1954;348080
AGO;1955;414032
AGO;1956;501968
AGO;1957;619216
AGO;1958;593568
AGO;1959;618591.97
AGO;1960;548946.25
AGO;1961;453711.97
AGO;1962;1179124.53
AGO;1963;1149723.39
AGO;1964;1222914.24
AGO;1965;1186155.38
AGO;1966;1552466.23
AGO;1967;991814.8
AGO;1968;1669535.93
AGO;1969;2783094.77
AGO;1970;3577915.33
AGO;1971;3405380.45
AGO;1972;4500530.15
AGO;1973;4873663.83
AGO;1974;4866395.26
AGO;1975;4408811.28
AGO;1976;3280042.31
AGO;1977;3527510.97
AGO;1978;5399808.1
AGO;1979;5489191.01
AGO;1980;5334356.96
AGO;1981;5266774.02
AGO;1982;4635170.08
AGO;1983;5100534.83
AGO;1984;4985860.98
AGO;1985;4676114.24
AGO;1986;4633839.5
AGO;1987;5786028.76
AGO;1988;5049305.73
AGO;1989;4922809.97
AGO;1990;5088684.98
AGO;1991;5062876.68
AGO;1992;5165043.98
AGO;1993;5748383.38
AGO;1994;3865595.55
AGO;1995;10948303.24
AGO;1996;10424825.05
AGO;1997;7347849.05
AGO;1998;7269605.77
AGO;1999;9129777.79
AGO;2000;9515060.92
AGO;2001;9671518.88
AGO;2002;12597545.05
AGO;2003;8988367.85
AGO;2004;18701931.74
AGO;2005;19006429.59
AGO;2006;22102407.09
AGO;2007;24976104.38
AGO;2008;25486004.45
AGO;2009;27565503.37
AGO;2010;28864472.37
AGO;2011;30142144.46
AGO;2012;33185815.75
AGO;2013;32373114.67
AGO;2014;34457641.91
AGO;2015;34761128.89
AGO;2016;35351002.67
AGO;2017;35389928.27
AIA;1990;51296
AIA;1991;51296
AIA;1992;54960
AIA;1993;65952
AIA;1994;65952
AIA;1995;65952
AIA;1996;69616
AIA;1997;69616
AIA;1998;76944
AIA;1999;80608
AIA;2000;87936
AIA;2001;95264
AIA;2002;95264
AIA;2003;102592
AIA;2004;120912
AIA;2005;128240
AIA;2006;142896
AIA;2007;150224
AIA;2008;150224
AIA;2009;146560
AIA;2010;150224
AIA;2011;142896
AIA;2012;142896
AIA;2013;135568
