country_code,country_name,continent,sub_region,longitude,latitude
AFG,Afghanistan,Asia,Southern Asia,67.709953,33.93911
ALB,Albania,Europe,Southern Europe,20.168331,41.153332
DZA,Algeria,Africa,Northern Africa,1.659626,28.033886
ASM,American Samoa,Oceania,Polynesia,-170.132217,-14.270972
AND,Andorra,Europe,Southern Europe,1.521801,42.506285
AGO,Angola,Africa,Sub-Saharan Africa,17.873887,-11.202692
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,-61.796428,17.060816
ARG,Argentina,Americas,Latin America and the Caribbean,-63.61667199999999,-38.416097
ARM,Armenia,Asia,Western Asia,45.038189,40.069099
ABW,Aruba,Americas,Latin America and the Caribbean,-69.968338,12.52111
AUS,Australia,Oceania,Australia and New Zealand,133.775136,-25.274398
AUT,Austria,Europe,Western Europe,14.550072,47.516231
AZE,Azerbaijan,Asia,Western Asia,47.576927,40.143105
BHS,Bahamas,Americas,Latin America and the Caribbean,-77.39627999999999,25.03428
BHR,Bahrain,Asia,Western Asia,50.5577,26.0667
BGD,Bangladesh,Asia,Southern Asia,90.356331,23.684994
BRB,Barbados,Americas,Latin America and the Caribbean,-59.543198,13.193887
BLR,Belarus,Europe,Eastern Europe,27.953389,53.709807
BEL,Belgium,Europe,Western Europe,4.469936,50.503887
BLZ,Belize,Americas,Latin America and the Caribbean,-88.49765,17.189877
BEN,Benin,Africa,Sub-Saharan Africa,2.315834,9.30769
BMU,Bermuda,Americas,Northern America,-64.7505,32.3078
BTN,Bhutan,Asia,Southern Asia,90.433601,27.514162
BOL,Bolivia,Americas,Latin America and the Caribbean,-63.58865299999999,-16.290154
BIH,Bosnia and Herzegovina,Europe,Southern Europe,17.679076,43.915886
BWA,Botswana,Africa,Sub-Saharan Africa,24.684866,-22.328474
BRA,Brazil,Americas,Latin America and the Caribbean,-51.92528,-14.235004
BRN,Brunei,Asia,South-eastern Asia,114.727669,4.535277
BGR,Bulgaria,Europe,Eastern Europe,25.48583,42.733883
BFA,Burkina Faso,Africa,Sub-Saharan Africa,-1.561593,12.238333
BDI,Burundi,Africa,Sub-Saharan Africa,29.918886,-3.373056
CPV,Cape Verde,Africa,Sub-Saharan Africa,-23.0418,16.5388
KHM,Cambodia,Asia,South-eastern Asia,104.990963,12.565679
CMR,Cameroon,Africa,Sub-Saharan Africa,12.354722,7.369721999999999
CAN,Canada,Americas,Northern America,-106.346771,56.130366
