country_code;year;gdp_value
AFG;1960;537777811.111111
AFG;1961;548888895.555556
AFG;1962;546666677.777778
AFG;1963;751111191.111111
AFG;1964;800000044.444444
AFG;1965;1006666637.77778
AFG;1966;1399999966.66667
AFG;1967;1673333417.77778
AFG;1968;1373333366.66667
AFG;1969;1408888922.22222
AFG;1970;1748886595.55556
AFG;1971;1831108971.11111
AFG;1972;1595555475.55556
AFG;1973;1733333264.44444
AFG;1974;2155555497.77778
AFG;1975;2366666615.55556
AFG;1976;2555555566.66667
AFG;1977;2953333417.77778
AFG;1978;3300000108.88889
AFG;1979;3697940409.61098
AFG;1980;3641723321.99546
AFG;1981;3478787909.09091
AFG;2002;4055179566.34981
AFG;2003;4515558808.10994
AFG;2004;5226778808.89209
AFG;2005;6209137624.77181
AFG;2006;6971285594.68013
AFG;2007;9747879531.86311
AFG;2008;10109225813.6696
AFG;2009;12439087076.7667
AFG;2010;15856574731.441
AFG;2011;17804292964.1045
AFG;2012;20001598505.7042
AFG;2013;20561069558.2152
AFG;2014;20484885119.7348
AFG;2015;19907111418.9938
AFG;2016;18017749073.9033
AFG;2017;18869945677.9599
AFG;2018;18353881129.881
AFG;2019;19291104007.8299
ALB;1984;1857338011.85488
ALB;1985;1897050133.42015
ALB;1986;2097326250
ALB;1987;2080796250
ALB;1988;2051236250
ALB;1989;2253090000
ALB;1990;2028553750
ALB;1991;1099559027.77778
ALB;1992;652174990.837304
ALB;1993;1185315468.46295
ALB;1994;1880951520.3972
ALB;1995;2392764853.42107
ALB;1996;3199642579.96974
ALB;1997;2258515610.08862
ALB;1998;2545967253.2416
ALB;1999;3212119044.17089
ALB;2000;3480355188.60063
ALB;2001;3922099470.97313
ALB;2002;4348070165.19261
ALB;2003;5611492282.86582
ALB;2004;7184681398.5698
ALB;2005;8052075642.10781
ALB;2006;8896073938.31407
ALB;2007;10677321490.3807
ALB;2008;12881354103.8398
ALB;2009;12044223352.5413
ALB;2010;11926928505.5231
ALB;2011;12890765324.2256
ALB;2012;12319830252.4768
ALB;2013;12776217194.7928
ALB;2014;13228144008.3428
ALB;2015;11386846319.1589
ALB;2016;11861200797.4706
ALB;2017;13019693450.8816
ALB;2018;15147020535.3869
ALB;2019;15279183289.9372
DZA;1962;2001468867.73344
DZA;1963;2703014867.32834
DZA;1964;2909351792.58659
DZA;1965;3136258896.9233
DZA;1966;3039834558.74906
DZA;1967;3370843065.76735
DZA;1968;3852115816.97758
DZA;1969;4257218772.15369
