year,hdi,country_code,hdi_rank
1990,302,AFG,138
1991,307,AFG,138
1992,316,AFG,136
1993,312,AFG,138
1994,307,AFG,138
1995,331,AFG,140
1996,335,AFG,141
1997,339,AFG,141
1998,344,AFG,141
1999,348,AFG,143
2000,350,AFG,163
2001,353,AFG,163
2002,384,AFG,162
2003,393,AFG,163
2004,409,AFG,165
2005,418,AFG,170
2006,429,AFG,171
2007,447,AFG,166
2008,447,AFG,169
2009,460,AFG,167
2010,472,AFG,165
2011,477,AFG,167
2012,489,AFG,165
2013,496,AFG,165
2014,500,AFG,165
2015,500,AFG,168
2016,502,AFG,169
2017,506,AFG,170
2018,509,AFG,170
2019,511,AFG,170
1990,650,ALB,65
1991,631,ALB,74
1992,615,ALB,80
1993,618,ALB,79
1994,624,ALB,75
1995,637,ALB,75
1996,646,ALB,75
1997,645,ALB,75
1998,655,ALB,75
1999,665,ALB,73
2000,671,ALB,85
2001,678,ALB,85
2002,684,ALB,84
2003,691,ALB,83
2004,696,ALB,83
2005,706,ALB,81
2006,713,ALB,83
2007,722,ALB,82
2008,728,ALB,83
2009,733,ALB,82
2010,745,ALB,79
2011,764,ALB,69
2012,775,ALB,65
2013,782,ALB,65
2014,787,ALB,65
2015,788,ALB,68
2016,788,ALB,68
2017,790,ALB,68
2018,792,ALB,68
2019,795,ALB,69
1990,572,DZA,90
1991,576,DZA,90
1992,582,DZA,89
1993,586,DZA,89
1994,590,DZA,88
1995,595,DZA,89
1996,602,DZA,89
1997,611,DZA,88
1998,621,DZA,88
1999,629,DZA,87
2000,637,DZA,97
2001,647,DZA,96
2002,657,DZA,97
2003,667,DZA,95
2004,677,DZA,95
2005,685,DZA,96
2006,690,DZA,99
2007,700,DZA,97
2008,702,DZA,98
2009,711,DZA,96
2010,721,DZA,92
2011,728,DZA,93
2012,728,DZA,95
2013,729,DZA,94
2014,736,DZA,91
2015,740,DZA,90
2016,743,DZA,91
2017,745,DZA,92
2018,746,DZA,92
2019,748,DZA,92
2000,813,AND,29
2001,815,AND,29
2002,820,AND,31
2003,827,AND,32
2004,833,AND,30
2005,827,AND,34
2006,837,AND,32
2007,837,AND,34
2008,840,AND,33
2009,839,AND,34
2010,837,AND,34
2011,836,AND,37
2012,858,AND,33
2013,856,AND,33
2014,863,AND,32
2015,862,AND,35
2016,866,AND,35
2017,863,AND,36
2018,867,AND,36
2019,868,AND,36
1999,391,AGO,138
2000,400,AGO,158
2001,410,AGO,157
2002,426,AGO,155
2003,435,AGO,155
2004,446,AGO,153
2005,460,AGO,156
2006,473,AGO,153
2007,489,AGO,152
2008,501,AGO,151
2009,515,AGO,147
2010,517,AGO,151
2011,533,AGO,148
2012,544,AGO,148
2013,555,AGO,148
2014,565,AGO,145
2015,572,AGO,146
2016,578,AGO,145
2017,582,AGO,146
2018,582,AGO,146
2019,581,AGO,149
2005,764,ATG,53
2006,771,ATG,55
2007,776,ATG,55
2008,774,ATG,60
2009,767,ATG,63
2010,763,ATG,69
2011,755,ATG,76
2012,759,ATG,75
2013,760,ATG,78
2014,760,ATG,79
2015,762,ATG,80
2016,765,ATG,79
2017,768,ATG,79
2018,772,ATG,78
