country_code;year;population_growth
ABW;1961;2.238143931
ABW;1962;1.409621865
ABW;1963;0.832452558
ABW;1964;0.592649039
ABW;1965;0.573468248
ABW;1966;0.616990878
ABW;1967;0.587373201
ABW;1968;0.568529799
ABW;1969;0.580642385
ABW;1970;0.57221119
ABW;1971;0.636272958
ABW;1972;0.670693326
ABW;1973;0.671204938
ABW;1974;0.471968484
ABW;1975;0.212897716
ABW;1976;-0.117120177
ABW;1977;-0.363781075
ABW;1978;-0.436627544
ABW;1979;-0.204858378
ABW;1980;0.193211026
ABW;1981;0.780690671
ABW;1982;1.276347795
ABW;1983;1.385740854
ABW;1984;1.015708085
ABW;1985;0.301918203
ABW;1986;-0.607943306
ABW;1987;-1.303070407
ABW;1988;-1.226909428
ABW;1989;-0.076979146
ABW;1990;1.813641093
ABW;1991;3.902018236
ABW;1992;5.44027196
ABW;1993;6.068410306
ABW;1994;5.625997562
ABW;1995;4.616674713
ABW;1996;3.517889233
ABW;1997;2.669576442
ABW;1998;2.114385656
ABW;1999;1.960557913
ABW;2000;2.055026783
ABW;2001;2.22593013
ABW;2002;2.229056047
ABW;2003;2.109354335
ABW;2004;1.757352867
ABW;2005;1.30203884
ABW;2006;0.79954624
ABW;2007;0.384052418
ABW;2008;0.134267964
ABW;2009;0.095654625
ABW;2010;0.210708808
ABW;2011;0.370125352
ABW;2012;0.502430116
ABW;2013;0.582349411
ABW;2014;0.594397037
ABW;2015;0.544892394
ABW;2016;0.50761773
ABW;2017;0.469944453
ABW;2018;0.453575639
ABW;2019;0.442121959
AFG;1961;1.898475653
AFG;1962;1.965750511
AFG;1963;2.029893385
AFG;1964;2.090247673
AFG;1965;2.147566577
AFG;1966;2.171008785
AFG;1967;2.188107747
AFG;1968;2.254572124
AFG;1969;2.3847205
AFG;1970;2.536599489
AFG;1971;2.665192329
AFG;1972;2.714522752
AFG;1973;2.659115951
AFG;1974;2.47943603
AFG;1975;2.200780319
AFG;1976;1.98142011
AFG;1977;1.747838882
AFG;1978;1.281616595
AFG;1979;0.522259984
AFG;1980;-0.407546009
AFG;1981;-1.393544249
AFG;1982;-2.219656411
AFG;1983;-2.712947662
AFG;1984;-2.695480494
AFG;1985;-2.20436802
AFG;1986;-1.706772001
AFG;1987;-1.128040913
AFG;1988;0.116016612
AFG;1989;2.136354595
AFG;1990;4.476896508
AFG;1991;6.900156175
AFG;1992;8.546120196
AFG;1993;8.790888641
AFG;1994;7.659777033
