country_code,year,population_growth,population_count
ABW,1961,2.238143931,55438
ABW,1962,1.409621865,56225
ABW,1963,0.832452558,56695
ABW,1964,0.592649039,57032
ABW,1965,0.573468248,57360
ABW,1966,0.616990878,57715
ABW,1967,0.587373201,58055
ABW,1968,0.568529799,58386
ABW,1969,0.580642385,58726
ABW,1970,0.57221119,59063
ABW,1971,0.636272958,59440
ABW,1972,0.670693326,59840
ABW,1973,0.671204938,60243
ABW,1974,0.471968484,60528
ABW,1975,0.212897716,60657
ABW,1976,-0.117120177,60586
ABW,1977,-0.363781075,60366
ABW,1978,-0.436627544,60103
ABW,1979,-0.204858378,59980
ABW,1980,0.193211026,60096
ABW,1981,0.780690671,60567
ABW,1982,1.276347795,61345
ABW,1983,1.385740854,62201
ABW,1984,1.015708085,62836
ABW,1985,0.301918203,63026
ABW,1986,-0.607943306,62644
ABW,1987,-1.303070407,61833
ABW,1988,-1.226909428,61079
ABW,1989,-0.076979146,61032
ABW,1990,1.813641093,62149
ABW,1991,3.902018236,64622
ABW,1992,5.44027196,68235
ABW,1993,6.068410306,72504
ABW,1994,5.625997562,76700
ABW,1995,4.616674713,80324
ABW,1996,3.517889233,83200
ABW,1997,2.669576442,85451
ABW,1998,2.114385656,87277
ABW,1999,1.960557913,89005
ABW,2000,2.055026783,90853
ABW,2001,2.22593013,92898
ABW,2002,2.229056047,94992
ABW,2003,2.109354335,97017
ABW,2004,1.757352867,98737
ABW,2005,1.30203884,100031
ABW,2006,0.79954624,100834
ABW,2007,0.384052418,101222
ABW,2008,0.134267964,101358
ABW,2009,0.095654625,101455
ABW,2010,0.210708808,101669
ABW,2011,0.370125352,102046
ABW,2012,0.502430116,102560
ABW,2013,0.582349411,103159
ABW,2014,0.594397037,103774
ABW,2015,0.544892394,104341
ABW,2016,0.50761773,104872
ABW,2017,0.469944453,105366
ABW,2018,0.453575639,NA
ABW,2019,0.442121959,NA
AFG,1961,1.898475653,9169410
AFG,1962,1.965750511,9351441
AFG,1963,2.029893385,9543205
AFG,1964,2.090247673,9744781
AFG,1965,2.147566577,9956320
AFG,1966,2.171008785,10174836
AFG,1967,2.188107747,10399926
AFG,1968,2.254572124,10637063
AFG,1969,2.3847205,10893776
AFG,1970,2.536599489,11173642
AFG,1971,2.665192329,11475445
AFG,1972,2.714522752,11791215
AFG,1973,2.659115951,12108963
AFG,1974,2.47943603,12412950
AFG,1975,2.200780319,12689160
AFG,1976,1.98142011,12943093
AFG,1977,1.747838882,13171306
AFG,1978,1.281616595,13341198
AFG,1979,0.522259984,13411056
AFG,1980,-0.407546009,13356511
AFG,1981,-1.393544249,13171673
AFG,1982,-2.219656411,12882528
AFG,1983,-2.712947662,12537730
AFG,1984,-2.695480494,12204292
AFG,1985,-2.20436802,11938208
AFG,1986,-1.706772001,11736179
AFG,1987,-1.128040913,11604534
AFG,1988,0.116016612,11618005
AFG,1989,2.136354595,11868877
AFG,1990,4.476896508,12412308
AFG,1991,6.900156175,13299017
AFG,1992,8.546120196,14485546
AFG,1993,8.790888641,15816603
AFG,1994,7.659777033,17075727
AFG,1995,5.884256812,18110657
AFG,1996,4.019468195,18853437
AFG,1997,2.636538892,19357126
AFG,1998,1.94731853,19737765
AFG,1999,2.17043897,20170844
AFG,2000,2.975052846,20779953
AFG,2001,3.902805701,21606988
AFG,2002,4.496719561,22600770
AFG,2003,4.668361494,23680871
AFG,2004,4.321539296,24726684
AFG,2005,3.682731797,25654277
AFG,2006,2.990478094,26433049
AFG,2007,2.493842299,27100536
AFG,2008,2.268277145,27722276
AFG,2009,2.397020991,28394813
AFG,2010,2.74657628,29185507
AFG,2011,3.143125903,30117413
AFG,2012,3.407586974,31161376
AFG,2013,3.494589049,32269589
AFG,2014,3.355581661,33370794
AFG,2015,3.077083595,34413603
AFG,2016,2.778317409,35383128
AFG,2017,2.548346644,36296400
AFG,2018,2.3847611,NA
AFG,2019,2.311817217,NA
AGO,1961,1.393362766,5531472
AGO,1962,1.383629325,5608539
AGO,1963,1.256554783,5679458
AGO,1964,0.97396171,5735044
AGO,1965,0.617543973,5770570
AGO,1966,0.184283276,5781214
AGO,1967,-0.120652967,5774243
AGO,1968,-0.044881753,5771652
AGO,1969,0.546044668,5803254
AGO,1970,1.489917047,5890365
AGO,1971,2.521468087,6040777
AGO,1972,3.381711085,6248552
AGO,1973,3.898492612,6496962
AGO,1974,3.98923282,6761380
AGO,1975,3.81058451,7024000
AGO,1976,3.573055855,7279509
AGO,1977,3.432751989,7533735
AGO,1978,3.354067837,7790707
AGO,1979,3.374208831,8058067
AGO,1980,3.454405933,8341289
AGO,1981,3.523644107,8640446
AGO,1982,3.552888506,8952950
AGO,1983,3.567326642,9278096
AGO,1984,3.564244036,9614754
AGO,1985,3.547875982,9961997
AGO,1986,3.53169623,10320111
AGO,1987,3.514404774,10689250
