year;population_count;country_code
1960;54211;ABW
1961;55438;ABW
1962;56225;ABW
1963;56695;ABW
1964;57032;ABW
1965;57360;ABW
1966;57715;ABW
1967;58055;ABW
1968;58386;ABW
1969;58726;ABW
1970;59063;ABW
1971;59440;ABW
1972;59840;ABW
1973;60243;ABW
1974;60528;ABW
1975;60657;ABW
1976;60586;ABW
1977;60366;ABW
1978;60103;ABW
1979;59980;ABW
1980;60096;ABW
1981;60567;ABW
1982;61345;ABW
1983;62201;ABW
1984;62836;ABW
1985;63026;ABW
1986;62644;ABW
1987;61833;ABW
1988;61079;ABW
1989;61032;ABW
1990;62149;ABW
1991;64622;ABW
1992;68235;ABW
1993;72504;ABW
1994;76700;ABW
1995;80324;ABW
1996;83200;ABW
1997;85451;ABW
1998;87277;ABW
1999;89005;ABW
2000;90853;ABW
2001;92898;ABW
2002;94992;ABW
2003;97017;ABW
2004;98737;ABW
2005;100031;ABW
2006;100834;ABW
2007;101222;ABW
2008;101358;ABW
2009;101455;ABW
2010;101669;ABW
2011;102046;ABW
2012;102560;ABW
2013;103159;ABW
2014;103774;ABW
2015;104341;ABW
2016;104872;ABW
2017;105366;ABW
1960;8996973;AFG
1961;9169410;AFG
1962;9351441;AFG
1963;9543205;AFG
1964;9744781;AFG
1965;9956320;AFG
1966;10174836;AFG
1967;10399926;AFG
1968;10637063;AFG
1969;10893776;AFG
1970;11173642;AFG
1971;11475445;AFG
1972;11791215;AFG
1973;12108963;AFG
1974;12412950;AFG
1975;12689160;AFG
1976;12943093;AFG
1977;13171306;AFG
1978;13341198;AFG
1979;13411056;AFG
1980;13356511;AFG
1981;13171673;AFG
1982;12882528;AFG
1983;12537730;AFG
1984;12204292;AFG
1985;11938208;AFG
1986;11736179;AFG
1987;11604534;AFG
1988;11618005;AFG
1989;11868877;AFG
1990;12412308;AFG
1991;13299017;AFG
1992;14485546;AFG
1993;15816603;AFG
1994;17075727;AFG
1995;18110657;AFG
1996;18853437;AFG
1997;19357126;AFG
1998;19737765;AFG
1999;20170844;AFG
2000;20779953;AFG
2001;21606988;AFG
2002;22600770;AFG
2003;23680871;AFG
2004;24726684;AFG
2005;25654277;AFG
2006;26433049;AFG
2007;27100536;AFG
2008;27722276;AFG
2009;28394813;AFG
2010;29185507;AFG
2011;30117413;AFG
2012;31161376;AFG
2013;32269589;AFG
